ranker,name_display,age,team_name_abbr,pos,games,games_started,mp,fg_pct,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fg3a_corner3,fg_pct_corner3,fg3a_heave,fg3_heave,awards
462,Keith Appling,23.0,ORL,PG,5,0,27.0,0.25,14.9,0.625,0.25,0.0,0.125,0.25,0.375,.400,1.000,,.000,.000,.000,0.0,0.0,0.0,0,0.667,.000,0,0,
463,Chuck Hayes,32.0,HOU,C,2,0,24.0,0.5,5.0,1.0,0.5,0.5,0.0,0.0,0.0,.500,1.000,.000,,,,1.0,0.0,0.0,0,0.0,,0,0,
464,Duje Dukan,24.0,SAC,SF,1,0,24.0,0.2,20.4,0.5,0.0,0.1,0.0,0.4,0.5,.000,,.000,,.000,.400,0.0,1.0,0.0,0,0.4,.000,0,0,
465,Nate Robinson,31.0,NOP,PG,2,1,23.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,.000,0.0,0.0,0.0,0,0.0,,0,0,
466,Kevon Looney,19.0,GSW,PF,5,0,21.0,0.571,12.1,0.714,0.286,0.143,0.286,0.0,0.286,.600,1.000,.000,.500,,.500,0.333,1.0,0.143,1,0.0,,0,0,
467,Nazr Mohammed,38.0,OKC,C,5,0,19.0,0.6,10.0,1.0,0.4,0.0,0.2,0.4,0.0,.600,1.000,,1.000,.000,,0.333,0.0,0.0,0,0.0,,0,0,
468,Jarnell Stokes,22.0,2TM,C,7,0,18.0,0.6,8.2,1.0,0.4,0.2,0.0,0.4,0.0,.600,1.000,1.000,,.000,,0.667,0.0,0.0,0,0.0,,0,0,
468,Jarnell Stokes,22.0,MEM,C,2,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0,0.0,,0,0,
468,Jarnell Stokes,22.0,MIA,C,5,0,14.0,0.6,8.2,1.0,0.4,0.2,0.0,0.4,0.0,.600,1.000,1.000,,.000,,0.667,0.0,0.0,0,0.0,,0,0,
469,Jimmer Fredette,26.0,2TM,SG,6,0,18.0,0.4,18.0,0.6,0.2,0.4,0.0,0.0,0.4,.333,1.000,.000,,,.500,1.0,1.0,0.0,0,0.0,,0,0,
